Pair	Chromosome	First_SNP	Last_SNP	First_Genome_Pos	Last_Genome_Pos	Length	Number_of_SNPs
Tuscany-1;Tuscany-2	3	423	463	15418664	17461635	2042972	41
Tuscany-1;Tuscany-2	12	1429	1469	55099521	55885362	785842	41
Tuscany-1;Tuscany-2	12	1431	1472	55152527	55955751	803225	42
Tuscany-1;Tuscany-2	12	1432	1473	55176610	55958846	782237	42
Tuscany-1;Tuscany-2	13	551	595	18917464	20044447	1126984	45
Tuscany-1;Tuscany-2	13	552	603	18922202	20178474	1256273	52
Tuscany-1;Tuscany-2	13	559	604	19026556	20268084	1241529	46
Tuscany-1;Tuscany-2	15	711	752	23167426	25069742	1902317	42
Tuscany-1;Tuscany-2	15	714	754	23410142	25094966	1684825	41
Tuscany-1;Tuscany-2	15	715	755	23411597	25096908	1685312	41
Tuscany-1;Tuscany-3	6	3570	3610	163067107	163799629	732523	41
Tuscany-1;Tuscany-4	4	1041	1083	37345414	38854416	1509003	43
Tuscany-1;Tuscany-4	4	1044	1084	37435730	38864643	1428914	41
Tuscany-1;Tuscany-4	4	1047	1087	37555489	38974770	1419282	41
Tuscany-1;Tuscany-4	4	1049	1092	37637718	39324208	1686491	44
Tuscany-1;Tuscany-4	18	1291	1335	48366869	52038830	3671962	45
Tuscany-1;Tuscany-4	18	1292	1344	48381625	52887324	4505700	53
Tuscany-1;Tuscany-4	18	1301	1349	48809099	53303075	4493977	49
Tuscany-1;Tuscany-4	18	1302	1352	48814936	53340309	4525374	51
Tuscany-1;Tuscany-4	18	1307	1353	48906473	53343247	4436775	47
